Training_ID,Employee_ID,Employee_Name,Department,Area,Training_Course,Training_Type,Course_Category,Scheduled_Date,Completed_Date,Status,Trainer,Score_Percent,Pass_Fail,Expiration_Date,Notes
TRN-2025-0917,E1167,Miguel Ángel Cuéllar,Production,Line 1,Hearing Conservation,Annual Refresher,Safety,2025-09-26,2025-09-26,Completed,M. Sánchez,102,Pass,2026-09-26,Audiogram completed same day
TRN-2025-0918,E1078,Karina Velázquez,Maintenance,Line 2,LOTO Authorized Person,Initial,Safety,2025-09-27,2025-09-27,Completed,C. Aguilar,92,Pass,2026-09-27,New maintenance technician
TRN-2025-0919,E1201,Octavio Pineda,Production,Line 3,Housekeeping Standards,Annual Refresher,Safety,2025-09-24,2025-09-24,Completed,M. Sánchez,84,Pass,2026-09-24,5S principles reinforced
TRN-2025-0920,E1123,Carmen Mendoza,Production,Line 2,Robot Cell Entry,Initial,Safety,2025-10-01,2025-10-01,Completed,C. Aguilar,89,Pass,2026-10-01,Safeguarded stop procedure
TRN-2025-0921,E1054,Francisco Ibarra,Production,Line 1,LOTO Affected Person,Annual Refresher,Safety,2025-09-30,2025-09-30,Completed,M. Sánchez,91,Pass,2026-09-30,
TRN-2025-1001,E1142,Rebeca Avila,Maintenance,Line 1,Press Maintenance Safety,Annual Refresher,Safety,2025-10-05,2025-10-05,Completed,C. Aguilar,91,Pass,2026-10-05,Die change LOTO reviewed
TRN-2025-1002,E1095,Marcela Olvera,Production,Line 3,Conveyor Safety,Annual Refresher,Safety,2025-10-05,2025-10-05,Completed,M. Sánchez,84,Pass,2026-10-05,Pinch point awareness
TRN-2025-1003,E1176,Silvia Anguiano,Maintenance,Line 2,Machine Guarding Inspection,Initial,Safety,2025-10-03,2025-10-03,Completed,C. Aguilar,83,Pass,2026-10-03,Interlock testing procedure
TRN-2025-1004,E1031,Rebeca Avila,Logistics,Receiving/Shipping,Pedestrian Safety,Annual Refresher,Safety,2025-10-07,2025-10-07,Completed,M. Sánchez,102,Pass,2026-10-07,Forklift traffic awareness
TRN-2025-1005,E1158,Javier Pacheco,Production,Line 1,Hearing Conservation,Initial,Safety,2025-10-09,2025-10-09,Completed,M. Sánchez,103,Pass,2026-10-09,Baseline audiogram completed
TRN-2025-1006,E1089,Alejandro Hernández,Production,Line 1,PPE Requirements,Annual Refresher,Safety,2025-10-11,2025-10-11,Completed,M. Sánchez,94,Pass,2026-10-11,
TRN-2025-1007,E1067,Fernando Solís,Maintenance,Line 1,Arc Flash Safety,Annual Refresher,Safety,2025-10-10,2025-10-10,Completed,C. Aguilar,98,Pass,2026-10-10,NFPA 70E updates reviewed
TRN-2025-1008,E1145,Beatriz Castillo,Production,Line 2,Machine Guarding Awareness,Annual Refresher,Safety,2025-10-13,2025-10-13,Completed,M. Sánchez,94,Pass,2026-10-13,Light curtain operation
TRN-2025-1009,E1205,Mauricio Arellano,Production,Line 3,Housekeeping Standards,Initial,Safety,2025-10-17,2025-10-17,Completed,M. Sánchez,85,Pass,2027-10-17,New hire orientation
TRN-2025-1010,E1042,Rebeca Avila,Maintenance,Line 1,Crane and Hoist Safety,Annual Refresher,Safety,2025-10-16,2025-10-16,Completed,C. Aguilar,88,Pass,2026-10-16,Die handling operations
TRN-2025-1011,E1178,Carlos Vargas,Production,Line 2,Robot Cell Entry,Initial,Safety,2025-10-16,2025-10-16,Completed,C. Aguilar,90,Pass,2026-10-16,Emergency stop locations
TRN-2025-1012,E1112,Mónica Avalos,Maintenance,Maintenance Crib,Confined Space Entry,Initial,Safety,2025-10-20,2025-10-20,Completed,C. Aguilar,89,Pass,2026-10-20,Permit required spaces ID
TRN-2025-1013,E1034,Cristina Reyes,Logistics,Receiving/Shipping,Dock Safety,Annual Refresher,Safety,2025-10-22,2025-10-22,Completed,M. Sánchez,95,Pass,2026-10-22,Dock lock procedure
TRN-2025-1014,E1134,Lucía Camacho,Production,Line 1,LOTO Affected Person,Annual Refresher,Safety,2025-10-20,2025-10-20,Completed,M. Sánchez,85,Pass,2026-10-20,
TRN-2025-1015,E1023,Marcela Olvera,Maintenance,Line 3,Conveyor Maintenance,Annual Refresher,Equipment,2025-10-23,2025-10-23,Completed,C. Aguilar,89,Pass,2026-10-23,Belt tensioning procedure
TRN-2025-1016,E1087,Jorge Espinoza,Maintenance,Line 2,Robot Safety Systems,Annual Refresher,Safety,2025-10-23,2025-10-23,Completed,C. Aguilar,96,Pass,2026-10-23,Safety PLC diagnostics
TRN-2025-1017,E1156,Lucía Camacho,Production,Line 3,Ergonomics Awareness,Annual Refresher,Safety,2025-10-24,2025-10-24,Completed,M. Sánchez,90,Pass,2026-10-24,Lifting techniques
TRN-2025-1018,E1098,Marcela Olvera,Production,Line 3,Housekeeping Standards,Annual Refresher,Safety,2025-10-29,2025-10-29,Completed,M. Sánchez,78,Pass,2026-10-29,Aisle clearance emphasis
TRN-2025-1019,E1189,Tomás Negrete,Production,Line 2,ESD Protection,Annual Refresher,Quality,2025-10-25,2025-10-25,Completed,Quality Mgr,94,Pass,2026-10-25,Wrist strap testing
TRN-2025-1020,E1056,Jorge Espinoza,Quality,All Areas,Internal Auditor,Recertification,Quality,2025-11-01,2025-11-01,Completed,Quality Mgr,101,Pass,2027-11-01,ISO 9001 focus
TRN-2025-1101,E1167,Miguel Ángel Cuéllar,Production,Line 1,Press Safety,Annual Refresher,Safety,2025-11-01,2025-11-01,Completed,M. Sánchez,87,Pass,2026-11-01,Two-hand control operation
TRN-2025-1102,E1078,Karina Velázquez,Maintenance,Line 2,Machine Guarding Inspection,Annual Refresher,Safety,2025-11-05,2025-11-05,Completed,C. Aguilar,91,Pass,2026-11-05,Guard integrity checks
TRN-2025-1103,E1201,Octavio Pineda,Production,Line 3,Palletizer Safety,Annual Refresher,Safety,2025-11-04,2025-11-04,Completed,M. Sánchez,86,Pass,2026-11-04,Exclusion zone awareness
TRN-2025-1104,E1123,Carmen Mendoza,Production,Line 2,Machine Guarding Awareness,Annual Refresher,Safety,2025-11-09,2025-11-09,Completed,M. Sánchez,84,Pass,2026-11-09,Interlock defeat prohibited
TRN-2025-1105,E1045,Mario Jiménez,Logistics,Receiving/Shipping,Hazmat Shipping,Annual Refresher,Compliance,2025-11-06,2025-11-06,Completed,EHS Manager,88,Pass,2026-11-06,DOT requirements
TRN-2025-1106,E1054,Francisco Ibarra,Production,Line 1,Hearing Conservation,Annual Refresher,Safety,2025-11-09,2025-11-09,Completed,M. Sánchez,101,Pass,2026-11-09,Audiogram completed same day
TRN-2025-1107,E1142,Rebeca Avila,Maintenance,Line 1,LOTO Authorized Person,Annual Refresher,Safety,2025-11-08,2025-11-08,Completed,C. Aguilar,93,Pass,2026-11-08,Energy verification emphasis
TRN-2025-1108,E1095,Marcela Olvera,Production,Line 3,Housekeeping Standards,Annual Refresher,Safety,2025-11-13,2025-11-13,Completed,M. Sánchez,74,Pass,2026-11-13,Slip hazard prevention
TRN-2025-1109,E1176,Silvia Anguiano,Maintenance,Line 2,Robot Cell Entry,Annual Refresher,Safety,2025-11-14,2025-11-14,Completed,C. Aguilar,94,Pass,2026-11-14,Collaborative robot safety
TRN-2025-1110,E1031,Rebeca Avila,Logistics,Receiving/Shipping,Forklift Operator,Refresher,Safety,2025-11-16,2025-11-16,Completed,L. Ramírez,88,Pass,2028-09-25,Post near-miss refresher
TRN-2025-1111,E1158,Javier Pacheco,Production,Line 1,LOTO Affected Person,Initial,Safety,2025-11-20,2025-11-20,Completed,M. Sánchez,92,Pass,2026-11-20,
TRN-2025-1112,E1207,Isabel Domínguez,Production,Line 2,Machine Guarding Awareness,Initial,Safety,2025-11-20,2025-11-20,Completed,M. Sánchez,82,Pass,2026-11-20,New hire - interlock awareness
TRN-2025-1113,E1112,Mónica Avalos,Maintenance,Maintenance Crib,Aerial Lift Operator,Initial,Safety,2025-11-17,2025-11-17,Completed,L. Ramírez,97,Pass,2026-11-17,Scissor lift and boom
TRN-2025-1114,E1042,Rebeca Avila,Maintenance,Line 1,Hydraulic Safety,Annual Refresher,Safety,2025-11-23,2025-11-23,Completed,C. Aguilar,89,Pass,2026-11-23,Press hydraulics focus
TRN-2025-1115,E1145,Beatriz Castillo,Production,Line 2,Robot Cell Entry,Annual Refresher,Safety,2025-11-22,2025-11-22,Completed,C. Aguilar,85,Pass,2026-11-22,Teach pendant safety
TRN-2025-1201,E1087,Jorge Espinoza,Maintenance,Line 2,LOTO Authorized Person,Annual Refresher,Safety,2025-12-02,2025-12-02,Completed,C. Aguilar,93,Pass,2026-12-02,Group lockout procedure
TRN-2025-1202,E1067,Fernando Solís,Maintenance,Line 1,LOTO Authorized Person,Annual Refresher,Safety,2025-12-03,2025-12-03,Completed,C. Aguilar,100,Pass,2026-12-03,Press-specific LOTO
TRN-2025-1203,E1205,Mauricio Arellano,Production,Line 3,Conveyor Safety,Initial,Safety,2025-12-05,2025-12-05,Completed,M. Sánchez,86,Pass,2026-12-05,Nip point identification
TRN-2025-1204,E1023,Marcela Olvera,Maintenance,Line 3,LOTO Authorized Person,Annual Refresher,Safety,2025-12-01,2025-12-01,Completed,C. Aguilar,91,Pass,2026-12-01,
TRN-2025-1205,E1178,Carlos Vargas,Production,Line 2,Machine Guarding Awareness,Annual Refresher,Safety,2025-12-03,2025-12-03,Completed,M. Sánchez,91,Pass,2026-12-03,Safety circuit testing
TRN-2026-0101,E1134,Lucía Camacho,Production,Line 1,Hearing Conservation,Annual Refresher,Safety,2026-01-08,2026-01-08,Completed,M. Sánchez,95,Pass,2027-01-08,Audiogram completed same day
TRN-2026-0102,E1098,Marcela Olvera,Production,Line 3,Housekeeping Standards,Annual Refresher,Safety,2026-01-06,2026-01-06,Completed,M. Sánchez,82,Pass,2027-01-06,Shrink wrap debris cleanup
TRN-2026-0103,E1189,Tomás Negrete,Production,Line 2,Robot Cell Entry,Annual Refresher,Safety,2026-01-11,2026-01-11,Completed,C. Aguilar,85,Pass,2027-01-11,E-stop location review
TRN-2026-0104,E1056,Jorge Espinoza,Quality,Line 1,Measurement Systems,Annual Refresher,Quality,2026-01-11,2026-01-11,Completed,Quality Mgr,102,Pass,2027-01-11,Gage R&R refresher
TRN-2026-0105,E1201,Octavio Pineda,Production,Line 3,Ergonomics Awareness,Annual Refresher,Safety,2026-01-13,2026-01-13,Completed,M. Sánchez,89,Pass,2027-01-13,Pack-out lifting techniques
TRN-2026-0106,E1123,Carmen Mendoza,Production,Line 2,Machine Guarding Awareness,Annual Refresher,Safety,2026-01-15,2026-01-15,Completed,M. Sánchez,91,Pass,2027-01-15,Light curtain alignment
TRN-2026-0107,E1034,Cristina Reyes,Logistics,Receiving/Shipping,Pedestrian Safety,Annual Refresher,Safety,2026-01-11,2026-01-11,Completed,M. Sánchez,91,Pass,2027-01-11,Designated walkways
TRN-2026-0108,E1142,Rebeca Avila,Maintenance,Line 1,Press Maintenance Safety,Annual Refresher,Safety,2026-01-18,2026-01-18,Completed,C. Aguilar,90,Pass,2027-01-18,Energy isolation verification
TRN-2026-0109,E1095,Marcela Olvera,Production,Line 3,Stretch Wrap Machine Operation,Annual Refresher,Equipment,2026-01-19,2026-01-19,Completed,Line Supervisor,84,Pass,2027-01-19,Film break procedure
TRN-2026-0110,E1176,Silvia Anguiano,Maintenance,Line 2,Machine Guarding Inspection,Annual Refresher,Safety,2026-01-14,2026-01-14,Completed,C. Aguilar,94,Pass,2027-01-14,Interlock wiring inspection
